category,name,supplier,cost_price,margin_percent,margin_rs,selling_price
Saree,Al Adhira 252,Ajmera,1526,60%,915.6,2441.6
Saree,Al Adhira 214,Ajmera,1526,60%,915.6,2441.6
Saree,Al Adhira 220,Ajmera,1526,60%,915.6,2441.6
Saree,Al Adhira 116,Ajmera,1526,60%,915.6,2441.6
Saree,Al Adhira 230,Ajmera,1526,60%,915.6,2441.6
Saree,Al Adhira 226,Ajmera,1526,60%,915.6,2441.6
Saree,Al Adhira 216,Ajmera,1526,60%,915.6,2441.6
Saree,Al Adhira 254,Ajmera,1526,60%,915.6,2441.6
Saree,All- Riwaayat-107,Ajmera,2026,60%,1215.6,3241.6
Saree,All-Mohar Vol-1 Ajrak,Ajmera,826,60%,495.6,10572.8
Saree,Ak MASTANI-201,Ajmera,631.5,60%,378.9,4041.6
Saree,TEMPLE Kasuti,Narayan Ilakal,775,60%,465,2480
Saree,Neckless Line,Narayan Ilakal,1500,60%,900,9600
Saree,Tan Jery Cheks,Narayan Ilakal,1500,80%,1200,2700
Saree,Tana Jerry Boarder,Narayan Ilakal,1600,60%,960,2560
Saree,Jerry Butta,Narayan Ilakal,1700,60%,1020,2720
Saree,Bentex Crape Butta,Narayan Ilakal,1350,60%,810,6480
Saree,Bentex Crape,Narayan Ilakal,1350,60%,810,6480
Kurti,3PC Sets 1,Vihar Collections,750,80%,600,28350
Kurti,Kurti,Vihar Collections,450,60%,270,2160
Kurti,Cord Set 1,Vihar Collections,450,60%,270,2160
Kurti,Cord Set 2,Vihar Collections,650,60%,390,20800
Kurti,Side Cut 3PC,Vihar Collections,675,60%,405,5400
Kurti,Gown With Dupatta,Vihar Collections,550,60%,330,17600
Kurti,3 pc set,Vihar Collections,550,60%,330,4400
Kurti,3PC Sets 2,Vihar Collections,1300,60%,780,22880
Kurti,Imported turkish fabric,V K export,649,100%,649,12980
Kurti,Masalini,V K export,699,100%,699,12582
Skirts,Cotton Blue Skirt,V K export,749,100%,749,7490
Skirts,Cotton Silk Banaras skirt,V K export,849,100%,849,6792
Kurti,Hakoba,V K export,649,100%,649,6490
Kurti,Mahendi Green Kurrti,V K export,749,100%,749,7490
Kurti,Silk Cotton( 5 colord),V K export,639,100%,639,31950
Kurti,Anarakali Pink,V K export,799,100%,799,7990
Kurti,Handloom Dress Pink,V K export,899,100%,899,8990
Kurti,Green Print,V K export,699,100%,699,5592
Skirts,Handloom Skirt Blue,V K export,899,100%,899,8990
Kurti,Gearget cotton,V K export,799,100%,799,6392
Kurti,Cotton Dress green,V K export,598,100%,598,5980
Kurti,A-2452,Fashion Stoty,1199,60%,719.4,7673.6
Skirts,A-2147,Fashion Stoty,1199,60%,719.4,7673.6
Skirts,A-2079,Fashion Stoty,1199,60%,719.4,7673.6
Skirts,A-2416,Fashion Stoty,1150,60%,690,7360
Skirts,A-2381,Fashion Stoty,900,60%,540,5760
Skirts,Na-6233,Fashion Stoty,650,60%,390,4160
Skirts,A-1705,Fashion Stoty,599,60%,359.4,4792
Skirts,G41,Fashion Stoty,1250,60%,750,10000
Skirts,A-8692,Fashion Stoty,890,60%,534,5696
Skirts,A-9530,Fashion Stoty,999,60%,599.4,6393.6
Skirts,A-2425,Fashion Stoty,950,60%,570,6080
Skirts,A-2422,Fashion Stoty,920,60%,552,5888
Skirts,Bangalore Silk-1,Laxmi Weaves,942,80%,753.6,5086.8
Skirts,Soft Silk-2,Laxmi Weaves,762,100%,762,3048
Skirts,Kanjivaram Tissue-3,Laxmi Weaves,1157,80%,925.6,4165.2
Skirts,Soft Tussar-4,Laxmi Weaves,728,80%,582.4,5241.6
Skirts,Raw Silk-5,Laxmi Weaves,4020,80%,3216,14472
Skirts,Viscouse Tissue-6,Laxmi Weaves,3790,80%,3032,13644
Skirts,Windy crush-7,Laxmi Weaves,2295,80%,1836,8262
Skirts,JD CHECKS-8 Cutwork,Laxmi Weaves,3330,80%,2664,11988
Skirts,RAW SILK PAITANI-D44-9,Laxmi Weaves,3905,80%,3124,14058
Skirts,JD Checks Viscouse-10,Laxmi Weaves,2870,80%,2296,10332
Skirts,RAW SILK CUT WORK-11,Laxmi Weaves,2985,80%,2388,10746
Skirts,RAW SILK PAITANI-12,Laxmi Weaves,3300,80%,2640,11880
Skirts,CRUSH TUSSAR SHIBORI-13,Laxmi Weaves,1985,80%,1588,7146
Skirts,WINDY CRUSH CUT WORK-14,Laxmi Weaves,1985,80%,1588,7146
Skirts,RAW SILK-15,Laxmi Weaves,3790,80%,3032,20466
Skirts,WINDY CRUSH ALL OVER-16,Laxmi Weaves,1605,80%,1284,5778
Skirts,VISCOUSE TUSSAR WITH SATIN BOARDER-17,Laxmi Weaves,1850,80%,1480,13320
Skirts,VICHITRA GERA-18,Laxmi Weaves,1313,80%,1050.4,9453.6
Skirts,VICHITRA STRAIGHT,Laxmi Weaves,1020,80%,816,7344
