name,category,supplier,size,stock
Al Adhira 252,Saree,Ajmera,,1
Al Adhira 214,Saree,Ajmera,,1
Al Adhira 220,Saree,Ajmera,,1
Al Adhira 116,Saree,Ajmera,,1
Al Adhira 230,Saree,Ajmera,,1
Al Adhira 226,Saree,Ajmera,,1
Al Adhira 216,Saree,Ajmera,,1
Al Adhira 216,Saree,Ajmera,,1
Al Adhira 216,Saree,Ajmera,,1
Al Adhira 254,Saree,Ajmera,,1
All- Riwaayat-107,Saree,Ajmera,,1
All-Mohar Vol-1 Ajrak,Saree,Ajmera,,8
Ak MASTANI-201,Saree,Ajmera,,4
TEMPLE Kasuti,Saree,Narayan Ilakal,,2
Neckless Line,Saree,Narayan Ilakal,,4
Tan Jery Cheks,Saree,Narayan Ilakal,,1
Tana Jerry Boarder,Saree,Narayan Ilakal,,1
Jerry Butta,Saree,Narayan Ilakal,,1
Bentex Crape Butta,Saree,Narayan Ilakal,,3
Bentex Crape,Saree,Narayan Ilakal,,3
3PC Sets,Kurti,Vihar Collections,,21
Kurti,Kurti,Vihar Collections,,3
Cord Set,Kurti,Vihar Collections,,3
Cord Set,Kurti,Vihar Collections,,20
Side Cut 3PC,Kurti,Vihar Collections,,5
Gown With Dupatta,Kurti,Vihar Collections,,20
3 pc set,Kurti,Vihar Collections,,5
3PC Sets,Kurti,Vihar Collections,,11
Imported turkish fabric,Kurti,V K export,,10
Masalini,Kurti,V K export,,9
Cotton Blue Skirt,Skirts,V K export,,5
Cotton Silk Banaras skirt,Skirts,V K export,,4
Hakoba,Kurti,V K export,,5
Mahendi Green Kurrti,Kurti,V K export,,5
Silk Cotton( 5 colord),Kurti,V K export,,25
Anarakali Pink,Kurti,V K export,,5
Handloom Dress Pink,Kurti,V K export,,5
Green Print,Kurti,V K export,,4
Handloom Skirt Blue,Skirts,V K export,,5
Gearget cotton,Kurti,V K export,,4
Cotton Dress green,Kurti,V K export,,5
A-2452,Kurti,Fashion Stoty,,4
A-2147,Skirts,Fashion Stoty,,4
A-2079,Skirts,Fashion Stoty,,4
A-2416,Skirts,Fashion Stoty,,4
A-2381,Skirts,Fashion Stoty,,4
Na-6233,Skirts,Fashion Stoty,,4
A-1705,Skirts,Fashion Stoty,,5
G41,Skirts,Fashion Stoty,,5
A-8692,Skirts,Fashion Stoty,,4
A-9530,Skirts,Fashion Stoty,,4
A-2425,Skirts,Fashion Stoty,,4
A-2422,Skirts,Fashion Stoty,,4
Bangalore Silk-1,Skirts,Laxmi Weaves,,3
Soft Silk-2,Skirts,Laxmi Weaves,,2
Kanjivaram Tissue-3,Skirts,Laxmi Weaves,,2
Soft Tussar-4,Skirts,Laxmi Weaves,,4
Raw Silk-5,Skirts,Laxmi Weaves,,2
Viscouse Tissue-6,Skirts,Laxmi Weaves,,2
Windy crush-7,Skirts,Laxmi Weaves,,2
JD CHECKS-8 Cutwork,Skirts,Laxmi Weaves,,2
RAW SILK PAITANI-D44-9,Skirts,Laxmi Weaves,,2
JD Checks Viscouse-10,Skirts,Laxmi Weaves,,2
RAW SILK CUT WORK-11,Skirts,Laxmi Weaves,,2
RAW SILK PAITANI-12,Skirts,Laxmi Weaves,,2
CRUSH TUSSAR SHIBORI-13,Skirts,Laxmi Weaves,,2
WINDY CRUSH CUT WORK-14,Skirts,Laxmi Weaves,,2
RAW SILK-15,Skirts,Laxmi Weaves,,3
WINDY CRUSH ALL OVER-16,Skirts,Laxmi Weaves,,2
VISCOUSE TUSSAR WITH SATIN BOARDER-17,Skirts,Laxmi Weaves,,4
VICHITRA GERA-18,Skirts,Laxmi Weaves,,4
VICHITRA STRAIGHT,Skirts,Laxmi Weaves,,4
